Year,Week,Day,Date,Holiday,Kickoff,Type,Time,Hour,AwayPrime,After7,MLBReg,MLBPlay,NHLReg,NHLPlay,NBAReg,NBAPlay,NFL,Away,Home,PctMarket,Away2,Home2,Away3,Home3,AwayPop,HomePop,Market,Round,TV,Rating,Viewers,,
2009,,Sat,1/4/09,0,0,National,8:00 PM,8,0.5,1,0,0,1,0,1,0,0,IND,SD,,,,,,2336237,3211252,5547489,WC,NBC,16.1,27792000,,
2009,,Sun,1/5/09,0,0,National,1:00 PM,1,7.5,0,0,0,1,0,1,0,0,BAL,MIA,,,,,,2770738,6447610,9218348,WC,CBS,15,23893000,,
2009,,Sun,1/5/09,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,PHI,MIN,,,,,,7146706,3797883,10944589,WC,FOX,17.6,30026000,,
2009,,Sat,1/10/09,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,BAL,TEN,,,,,,2770738,1876933,4647671,DIV,CBS,15.4,25453000,,
2009,,Sat,1/10/09,0,0,National,8:00 PM,8,0.5,1,0,0,1,0,1,0,0,ARI,CAR,,,,,,4398762,2493040,6891802,DIV,FOX,13.8,23776000,,
2009,,Sun,1/11/09,0,0,National,1:00 PM,1,7.5,0,0,0,1,0,1,0,0,PHI,NYG,,,,,,7146706,23484225,30630931,DIV,FOX,18.7,31358000,,
2009,,Sun,1/11/09,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,SD,PIT,,,,,,3211252,2360867,5572119,DIV,CBS,19.6,34107000,,
2009,,Sun,1/18/09,0,0,National,3:00 PM,3,5.5,0,0,0,1,0,1,0,0,PHI,ARI,,,,,,7146706,4398762,11545468,CC,FOX,21.9,38387000,,
2009,,Sun,1/18/09,0,0,National,6:30 PM,6.5,2,0,0,0,1,0,1,0,0,BAL,PIT,,,,,,2770738,2360867,5131605,CC,CBS,22,40645000,,
2009,,Sun,2/1/09,0,0,National,6:30 PM,6.5,2,0,0,0,1,0,1,0,0,PIT,ARI,,,,,,2360867,4398762,6759629,SB,NBC,42,98732000,,
2008,,Sat,1/5/08,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,WAS,SEA,,,,,,9443180,3610105,13053285,WC,NBC,14,22994000,,
2008,,Sat,1/5/08,0,0,National,8:00 PM,8,0.5,1,0,0,1,0,1,0,0,JAC,PIT,,,,,,1518677,2360867,3879544,WC,NBC,15,25736000,,
2008,,Sun,1/6/08,0,0,National,1:00 PM,1,7.5,0,0,0,1,0,1,0,0,NYG,TB,,,,,,23484225,2783243,26267468,WC,FOX,15.1,22973000,,
2008,,Sun,1/6/08,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,TEN,SD,,,,,,1876933,3211252,5088185,WC,CBS,16.7,26628000,,
2008,,Sat,1/12/08,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,SEA,GB,,,,,,3610105,2040498,5650603,DIV,FOX,17,28200000,,
2008,,Sat,1/12/08,0,0,National,8:00 PM,8,0.5,1,0,0,1,0,1,0,0,JAC,NE,,,,,,1518677,8041303,9559980,DIV,CBS,17.9,30896000,,
2008,,Sun,1/13/08,0,0,National,1:00 PM,1,7.5,0,0,0,1,0,1,0,0,SD,IND,,,,,,3211252,2336237,5547489,DIV,CBS,20.2,31573000,,
2008,,Sun,1/13/08,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,NYG,DAL,,,,,,23484225,7206144,30690369,DIV,FOX,23.6,40063000,,
2008,,Sun,1/20/08,0,0,National,3:00 PM,3,5.5,0,0,0,1,0,1,0,0,SD,NE,,,,,,3211252,8041303,11252555,CC,CBS,25.7,44840000,,
2008,,Sun,1/20/08,0,0,National,6:30 PM,6.5,2,0,0,0,1,0,1,0,0,NYG,GB,,,,,,23484225,2040498,25524723,CC,FOX,29,53937000,,
2008,,Sun,2/3/08,0,0,National,6:30 PM,6.5,2,0,0,0,1,0,1,0,0,NYG,NE,,,,,,23484225,8041303,31525528,SB,FOX,43.1,97448000,,
2007,,Sat,1/6/07,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,KC,IND,,,,,,2054473,2336237,4390710,WC,NBC,12.6,19700000,,
2007,,Sat,1/6/07,0,0,National,8:00 PM,8,0.5,1,0,0,1,0,1,0,0,DAL,SEA,,,,,,7206144,3610105,10816249,WC,NBC,16.4,26767000,,
2007,,Sun,1/7/07,0,0,National,1:00 PM,1,7.5,0,0,0,1,0,1,0,0,NYJ,NE,,,,,,23484225,8041303,31525528,WC,CBS,17.3,29016341,,
2007,,Sun,1/7/07,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,NYG,PHI,,,,,,23484225,7146706,30630931,WC,FOX,18.2,29704000,,
2007,,Sat,1/13/07,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,IND,BAL,,,,,,2336237,2770738,5106975,DIV,CBS,16.4,26198000,,
2007,,Sat,1/13/07,0,0,National,8:00 PM,8,0.5,1,0,0,1,0,1,0,0,PHI,NO,,,,,,7146706,1467880,8614586,DIV,FOX,16.3,27440000,,
2007,,Sun,1/14/07,0,0,National,1:00 PM,1,7.5,0,0,0,1,0,1,0,0,SEA,CHI,,,,,,3610105,9912730,13522835,DIV,FOX,19.9,31594000,,
2007,,Sun,1/14/07,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,NE,SD,,,,,,8041303,3211252,11252555,DIV,CBS,20.6,34219000,,
2007,,Sun,1/21/07,0,0,National,3:00 PM,3,5.5,0,0,0,0,0,1,0,0,NO,CHI,,,,,,1467880,9912730,11380610,CC,FOX,25.1,43247000,,
2007,,Sun,1/21/07,0,0,National,6:30 PM,6.5,2,0,0,0,0,0,1,0,0,NE,IND,,,,,,8041303,2336237,10377540,CC,CBS,26.4,46695000,,
2007,,Sun,2/4/07,0,0,National,6:30 PM,6.5,2,0,0,0,1,0,1,0,0,IND,CHI,,,,,,2336237,9912730,12248967,SB,CBS,42.6,93184000,,
2006,,Sat,1/7/06,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,WAS,TB,,,,,,9443180,2783243,12226423,WC,ABC,14.2,21818000,,
2006,,Sat,1/7/06,0,0,National,8:00 PM,8,0.5,1,0,0,1,0,1,0,0,JAC,NE,,,,,,1518677,8041303,9559980,WC,ABC,13.9,22551000,,
2006,,Sun,1/8/06,0,0,National,1:00 PM,1,7.5,0,0,0,1,0,1,0,0,CAR,NYG,,,,,,2493040,23484225,25977265,WC,FOX,15.1,22773000,,
2006,,Sun,1/8/06,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,PIT,CIN,,,,,,2360867,2137406,4498273,WC,CBS,18.9,30369000,,
2006,,Sat,1/14/06,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,WAS,SEA,,,,,,9443180,3610105,13053285,DIV,FOX,15.8,24269000,,
2006,,Sat,1/14/06,0,0,National,8:00 PM,8,0.5,1,0,0,1,0,1,0,0,NE,DEN,,,,,,8041303,3277309,11318612,DIV,CBS,16.1,26254000,,
2006,,Sun,1/15/06,0,0,National,1:00 PM,1,7.5,0,0,0,1,0,1,0,0,PIT,IND,,,,,,2360867,2336237,4697104,DIV,CBS,20.9,33861000,,
2006,,Sun,1/15/06,0,0,National,4:30 PM,4.5,4,0,0,0,1,0,1,0,0,CAR,CHI,,,,,,2493040,9912730,12405770,DIV,FOX,19.7,32699000,,
2006,,Sun,1/22/06,0,0,National,3:00 PM,3,5.5,0,0,0,1,0,1,0,0,PIT,DEN,,,,,,2360867,3277309,5638176,CC,CBS,23.6,39001000,,
2006,,Sun,1/22/06,0,0,National,6:30 PM,6.5,2,0,0,0,1,0,1,0,0,CAR,SEA,,,,,,2493040,3610105,6103145,CC,FOX,20.8,35233000,,
2006,,Sun,2/5/06,0,0,National,6:30 PM,6.5,2,0,0,0,1,0,1,0,0,PIT,SEA,,,,,,2360867,3610105,5970972,SB,ABC,41.6,90745000,,
2005,,Sat,1/8/05,0,0,National,4:30 PM,4.5,4,0,0,0,0,0,1,0,0,STL,SEA,,,,,,2810056,3610105,6420161,WC,ABC,14.6,21882000,,
