Year,Date,Day,Holiday,Clock,Time,AwayPrime,Window,Past7,NBAPlay,NHLReg,NHLPlay,MLBReg,MLBPlay,NFL,CF,Away,Home,AwayPop,HomePop,Market,Round,Game,WT,LT,Dif,Leverage,TV,Rating,Viewers
2012,1/18/12,Wed,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Mavs,Clippers,7206144,18351929,25558073,RS,,,,,,ESPN,,2125000
2012,1/18/12,Wed,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Blazers,Hawks,3022178,6162195,9184373,RS,,,,,,ESPN,,1306000
2013,1/18/13,Fri,0,0.9375,10.5,2,4,1,0,0,0,0,0,0,0,Thunder,Mavs,1390835,7206144,8596979,RS,,,,,,ESPN,,2177000
2013,1/18/13,Fri,0,0.833333333,8,0.5,3,1,0,0,0,0,0,0,0,Bulls,Celtics,9912730,8041303,17954033,RS,,,,,,ESPN,,1958000
2012,1/19/12,Thu,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Lakers,Heat,18351929,6447610,24799539,RS,,,,,,TNT,,4396000
2012,1/19/12,Thu,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Mavs,Jazz,7206144,2389225,9595369,RS,,,,,,TNT,,1965000
2012,1/20/12,Fri,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Wolves,Clippers,3797883,18351929,22149812,RS,,,,,,ESPN,,2204000
2012,1/20/12,Fri,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Lakers,Magic,18351929,2975658,21327587,RS,,,,,,ESPN,,1995000
2014,1/20/14,Mon,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Pacers,Warriors,2336237,8469854,10806091,RS,,,,,,TNT,,1560000
2014,1/20/14,Mon,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Blazers,Rockets,3022178,6508323,9530501,RS,,,,,,TNT,,1320000
2014,1/20/14,Mon,0,0.604166667,2.5,6,1,0,0,1,0,0,0,0,0,Nets,Knicks,23484225,23484225,46968450,RS,,,,,,ESPN,,986000
2013,1/21/13,Mon,0,0.895833333,9.5,1,3,1,0,1,0,0,0,0,0,Lakers,Bulls,18351929,9912730,28264659,RS,,,,,,TNT,,2235000
2013,1/21/13,Mon,0,0.791666667,7,1.5,3,1,0,1,0,0,0,0,0,Spurs,Sixers,2277550,7146706,9424256,RS,,,,,,TNT,,1335000
2013,1/21/13,Mon,0,0.541666667,1,7.5,1,0,0,1,0,0,0,0,0,Pacers,Grizzlies,2336237,1369006,3705243,RS,,,,,,ESPN,,781000
2014,1/22/14,Wed,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Thunder,Spurs,1390835,2277550,3668385,RS,,,,,,ESPN,,1870000
2014,1/22/14,Wed,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Pacers,Suns,2336237,4398762,6734999,RS,,,,,,ESPN,,1370000
2014,1/23/14,Thu,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Lakers,Heat,18351929,6447610,24799539,RS,,,,,,TNT,,2650000
2014,1/23/14,Thu,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Nuggets,Blazers,3277309,3022178,6299487,RS,,,,,,TNT,,1470000
2013,1/24/13,Thu,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Knicks,Celtics,23484225,8041303,31525528,RS,,,,,,TNT,,2465000
2013,1/24/13,Thu,0,0.9375,10.5,2,4,1,0,1,0,0,0,0,0,Clippers,Suns,18351929,4398762,22750691,RS,,,,,,TNT,,1406000
2014,1/24/14,Fri,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Clippers,Bulls,18351929,9912730,28264659,RS,,,,,,ESPN,,1330000
2013,1/25/13,Fri,0,0.833333333,8,0.5,3,1,0,1,0,0,0,0,0,Spurs,Mavs,2277550,7206144,9483694,RS,,,,,,ESPN,,1117000
2012,1/26/12,Thu,0,0.9375,10.5,2,4,1,0,0,0,0,0,0,0,Grizzlies,Clippers,1369006,18351929,19720935,RS,,,,,,TNT,,1680000
2012,1/26/12,Thu,0,0.833333333,8,0.5,3,1,0,0,0,0,0,0,0,Celtics,Magic,8041303,2975658,11016961,RS,,,,,,TNT,,1632000
2014,1/26/14,Sun,0,0.645833333,3.5,5,1,0,0,1,0,0,0,0,0,Lakers,Knicks,18351929,23484225,41836154,RS,,,,,,ABC,,4370000
