Year,Date,Day,Time,Hour,AwayPrime,After7,Overlap,NHLReg,NHLPlay,NBAReg,NBAPlay,CF,NFL,Soccer,Away1,Home1,Share1,Away2,Home2,Share2,Away3,Home3,Share3,Away4,Home4,Share4,Away5,Home5,Share5,TOTAL,AwayPop,HomePop,Market,Round,Game,WT,LT,DIF,Leverage,TV,Rating,Share,KeyDemo,Viewers
2009,10/31/09,Sat,9:17 PM,9.283333333,0.783333333,1,0,1,0,1,0,1,0,0,NY,PHI,,,,,,,,,,,,,,,23484225,7146706,30630931,WS,3,1,1,0,0.486,Fox,9.1,18,,15400000
2010,10/27/10,Wed,7:59 PM,7.983333333,0.516666667,1,0,1,0,1,0,0,0,0,TEX,SF,,,,,,,,,,,,,,,7206144,8469854,15675998,WS,1,0,0,0,0.422,Fox,8.9,15,,15009000
2011,10/19/11,Wed,8:05 PM,8.083333333,0.416666667,1,0,1,0,0,0,0,0,0,TEX,STL,,,,,,,,,,,,,,,7206144,2810056,10016200,WS,1,0,0,0,0.422,Fox,8.7,14,,14200000
2011,10/22/11,Sat,8:05 PM,8.083333333,0.416666667,1,0,1,0,0,0,1,0,0,STL,TEX,,,,,,,,,,,,,,,2810056,7206144,10016200,WS,3,1,1,0,0.486,Fox,6.6,12,,11200000
2011,10/24/11,Mon,8:05 PM,8.083333333,0.416666667,1,0,1,0,0,0,0,1,0,STL,TEX,,,,,,,,,,,,,,,2810056,7206144,10016200,WS,5,2,2,0,0.604,Fox,8.8,14,,14300000
2011,10/28/11,Fri,8:05 PM,8.083333333,0.416666667,1,0,1,0,0,0,0,0,0,TEX,STL,,,,,,,,,,,,,,,7206144,2810056,10016200,WS,7,3,3,0,1,Fox,14.7,25,,25400000
2012,10/10/12,Wed,7:37 PM,7.616666667,0.883333333,1,0,0,0,0,0,0,0,0,BAL,NY,,,,,,,,,,,,,,,2770738,23484225,26254963,LDS,3,1,1,0,0.486,TBS,,,,5800000
2012,10/12/12,Fri,8:37 PM,8.616666667,0.116666667,1,0,0,0,0,0,0,0,0,STL,WAS,,,,,,,,,,,,,,,2810056,9443180,12253236,LDS,5,2,2,0,0.604,TBS,,,,5900000
2012,10/12/12,Fri,5:07 PM,5.116666667,3.383333333,0,0,0,0,0,0,0,0,0,BAL,NY,,,,,,,,,,,,,,,2770738,23484225,26254963,LDS,5,2,2,0,0.604,TBS,,,,5100000
2012,10/13/12,Sat,8:07 PM,8.116666667,0.383333333,1,0,0,0,0,0,1,0,0,DET,NYY,,,,,,,,,,,,,,,5314163,23484225,28798388,LCS,1,0,0,0,0.422,TBS,,,,6800000
2012,10/14/12,Sun,8:15 PM,8.25,0.25,1,0,0,0,0,0,0,1,0,STL,SF,,,,,,,,,,,,,,,2810056,8469854,11279910,LCS,1,0,0,0,0.422,Fox,,,,6800000
2012,10/17/12,Wed,4:07 PM,4.116666667,4.383333333,0,0,0,0,0,0,0,0,0,SF,STL,,,,,,,,,,,,,,,8469854,2810056,11279910,LCS,3,1,1,0,0.486,Fox,3.1,,,5000000
2012,10/22/12,Mon,8:07 PM,8.116666667,0.383333333,1,0,0,0,0,0,0,1,0,STL,SF,,,,,,,,,,,,,,,2810056,8469854,11279910,LCS,7,3,3,0,1,Fox,4.9,,,8100000
2012,10/24/12,Wed,8:07 PM,8.116666667,0.383333333,1,0,0,0,0,0,0,0,0,DET,SF,,,,,,,,,,,,,,,5314163,8469854,13784017,WS,1,0,0,0,0.422,Fox,7.6,12,,12200000
2013,10/11/13,Fri,8:37 PM,8.616666667,0.116666667,1,0,1,0,0,0,0,0,0,LA,STL,,,,,,,,,,,,,,,18351929,2810056,21161985,LCS,1,0,0,0,0.422,TBS,3.5,,,5500000
2013,10/12/13,Sat,8:07 PM,8.116666667,0.383333333,1,0,1,0,0,0,1,0,0,DET,BOS,,,,,,,,,,,,,,,5314163,8041303,13355466,LCS,1,0,0,0,0.422,Fox,3.5,7,,5800000
2013,10/15/13,Tue,4:07 PM,4.116666667,4.383333333,0,0,1,0,0,0,0,0,0,BOS,DET,,,,,,,,,,,,,,,8041303,5314163,13355466,LCS,3,1,1,0,0.486,Fox,3.7,8,,5600000
2013,10/17/13,Thu,8:07 PM,8.116666667,0.383333333,1,0,1,0,0,0,0,1,0,BOS,DET,,,,,,,,,,,,,,,8041303,5314163,13355466,LCS,5,2,2,0,0.604,Fox,5.4,9,,8600000
2013,10/23/13,Wed,8:07 PM,8.116666667,0.383333333,1,0,1,0,0,0,0,0,0,STL,BOS,,,,,,,,,,,,,,,2810056,8041303,10851359,WS,1,0,0,0,0.422,Fox,8.6,14,,14500000
2013,10/26/13,Sat,8:07 PM,8.116666667,0.383333333,1,0,1,0,0,0,1,0,0,BOS,STL,,,,,,,,,,,,,,,8041303,2810056,10851359,WS,3,1,1,0,0.486,Fox,7.4,14,,12500000
2013,10/28/13,Mon,8:07 PM,8.116666667,0.383333333,1,0,1,0,0,0,0,1,0,BOS,STL,,,,,,,,,,,,,,,8041303,2810056,10851359,WS,5,2,2,0,0.604,Fox,8.9,14,,14400000
2010,4/10/10,Sat,3:00 PM,3,5.5,0,1,1,0,1,0,0,0,0,NYY,TB,0.7,STL,MIL,0.18,SEA,TEX,0.11,,,,,,,0.99,17435332.05,3169363.78,20604695.83,RS,,,,,,FOX,1.6,,,2412000
2010,4/17/10,Sat,4:00 PM,4,4.5,0,1,0,1,0,1,0,0,0,NYM,STL,0.61,SF,LAD,0.22,CHW,CLE,0.16,,,,,,,0.99,17774781.93,6311804.62,24086586.55,RS,,,,,,FOX,2.4,,,3707000
2010,4/24/10,Sat,4:00 PM,4,4.5,0,1,0,1,0,1,0,0,0,NYY,LAA,0.86,SEA,CHW,0.13,,,,,,,,,,0.99,20776191.51,17071313.84,37847505.35,RS,,,,,,FOX,1.6,,,2344000
2010,5/1/10,Sat,3:00 PM,3,5.5,0,1,0,1,0,1,0,0,0,NYM,PHI,0.7,HOU,ATL,0.19,TEX,SEA,0.1,,,,,,,0.99,18396153.27,6619478.95,25015632.22,RS,,,,,,FOX,1.4,,,2008000
2010,5/8/10,Sat,3:00 PM,3,5.5,0,1,0,1,0,1,0,0,0,NYY,BOS,0.82,ATL,PHI,0.17,,,,,,,,,,0.99,20304637.65,7808808.48,28113446.13,RS,,,,,,FOX,2.5,,,3658000
2010,5/15/10,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,PHI,MIL,0.57,HOU,SF,0.25,SEA,TB,0.17,,,,,,,0.99,6458848.26,3768544.09,10227392.35,RS,,,,,,FOX,1.4,,,2078000
2010,5/22/10,Sat,7:00 PM,7,1.5,1,1,0,1,0,1,0,0,0,NYY,NYM,0.49,CHI,TEX,0.23,DET,LAD,0.17,BOS,PHI,0.1,,,,0.99,15494736.16,16999181.9,32493918.06,RS,,,,,,FOX,2.7,,,4309000
2010,5/29/10,Sat,4:00 PM,4,4.5,0,1,0,1,0,1,0,0,0,STL,CHI,0.77,TEX,MIN,0.12,SEA,LAA,0.1,,,,,,,0.99,3474448.1,9923740.96,13398189.06,RS,,,,,,FOX,1.7,,,2504000
2010,6/5/10,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,TB,TEX,0.44,MIA,NYM,0.29,MIL,STL,0.26,,,,,,,0.99,3663386.74,10711743.17,14375129.91,RS,,,,,,FOX,1.4,,,2126000
2010,6/12/10,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,PHI,BOS,0.73,CHW,CHI,0.26,,,,,,,,,,0.99,7794405.18,8447460.99,16241866.17,RS,,,,,,FOX,1.7,,,2790000
2010,6/19/10,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,LAD,BOS,0.72,MIN,PHI,0.19,CHW,WAS,0.08,,,,,,,0.99,14728005.05,7903066.7,22631071.75,RS,,,,,,FOX,1.5,,,2252000
2010,6/26/10,Sat,7:00 PM,7,1.5,1,1,0,0,0,0,0,0,0,NYY,LAD,0.74,CHI,CHW,0.16,BOS,SF,0.09,,,,,,,0.99,19688080.57,15928751.12,35616831.69,RS,,,,,,FOX,2.2,,,3433000
2010,7/3/10,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,NYM,WAS,0.77,MIA,ATL,0.14,TB,MIN,0.08,,,,,,,0.99,19215164.17,8437786.54,27652950.71,RS,,,,,,FOX,1.5,,,2265000
2010,7/10/10,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,ATL,NYM,0.46,CHI,LAD,0.38,MIN,DET,0.15,,,,,,,0.99,7171129.55,18573600.97,25744730.52,RS,,,,,,FOX,2.1,,,3094000
2010,7/17/10,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,TB,NYY,0.72,LAD,STL,0.27,,,,,,,,,,0.99,7021830.51,17667357.12,24689187.63,RS,,,,,,FOX,1.8,,,2866000
2010,7/24/10,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,NYM,LAD,0.51,COL,PHI,0.24,CHW,OAK,0.24,,,,,,,0.99,15142564.11,13107458.19,28250022.3,RS,,,,,,FOX,1.4,,,2193000
2010,7/31/10,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,ATL,CIN,0.42,DET,BOS,0.37,LAD,SF,0.2,,,,,,,0.99,8224748.01,5591837.09,13816585.1,RS,,,,,,FOX,2.2,,,3315000
2010,8/7/10,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,BOS,NYY,0.86,TEX,OAK,0.13,,,,,,,,,,0.99,7852319.3,21297514.52,29149833.82,RS,,,,,,FOX,2.1,,,3250000
2010,8/14/10,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,CHI,STL,0.51,BAL,TB,0.26,SD,SF,0.22,,,,,,,0.99,6482359.62,4042844.38,10525204,RS,,,,,,FOX,1.7,,,2583000
2010,8/21/10,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,ATL,CHI,0.63,LAA,MIN,0.19,TEX,BAL,0.17,,,,,,,0.99,8594093.84,7437643.13,16031736.97,RS,,,,,,FOX,1.8,,,2721000
2010,8/28/10,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,PHI,SD,0.76,MIN,SEA,0.24,,,,,,,,,,1,6342988.48,3510874,9853862.48,RS,,,,,,FOX,1.2,,,1683000
2010,9/4/10,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,1,0,0,CIN,STL,0.44,TEX,MIN,0.37,COL,SD,0.18,,,,,,,0.99,4222705.66,3219666.71,7442372.37,RS,,,,,,FOX,1.2,,,1874000
2010,9/11/10,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,1,0,0,STL,ATL,0.58,PHI,NYM,0.21,SF,SD,0.2,,,,,,,0.99,4824611.54,9148010.75,13972622.29,RS,,,,,,FOX,1.6,,,2422000
2010,9/18/10,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,1,0,0,ATL,NYM,0.42,SD,STL,0.39,DET,CHW,0.18,,,,,,,0.99,4797059.52,12743587.74,17540647.26,RS,,,,,,FOX,1.4,,,1939000
2010,9/25/10,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,1,0,0,BOS,NYY,0.67,CIN,SD,0.26,TEX,OAK,0.06,,,,,,,0.99,6391165.19,17077547.51,23468712.7,RS,,,,,,FOX,1.6,,,2468000
2010,10/2/10,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,1,0,0,NYY,BOS,0.47,PHI,ATL,0.33,SD,SF,0.19,,,,,,,0.99,14006136.61,7422209.02,21428345.63,RS,,,,,,FOX,2.2,,,3385000
2011,4/2/11,Sat,4:00 PM,4,4.5,0,1,1,0,1,0,0,0,0,DET,NYY,0.59,SF,LAD,0.2,SD,STL,0.2,,,,,,,0.99,5471577.37,18088089.75,23559667.12,RS,,,,,,FOX,2,,,3157000
2011,4/9/11,Sat,1:00 PM,1,7.5,0,1,1,0,1,0,0,0,0,NYY,BOS,0.84,PHI,ATL,0.15,,,,,,,,,,0.99,20798754.9,7679023.77,28477778.67,RS,,,,,,FOX,2.6,,,3891000
2011,4/16/11,Sat,4:00 PM,4,4.5,0,1,0,1,0,1,0,0,0,NYM,ATL,0.45,LAA,CHW,0.35,MIN,TB,0.19,,,,,,,0.99,17712674.17,6787851.36,24500525.53,RS,,,,,,FOX,1.5,,,2292000
2011,4/23/11,Sat,4:00 PM,4,4.5,0,1,0,1,0,1,0,0,0,ATL,SF,0.69,CIN,STL,0.19,CHW,DET,0.11,,,,,,,0.99,5759674.36,6962667.83,12722342.19,RS,,,,,,FOX,1.8,,,2794000
2011,4/30/11,Sat,1:00 PM,1,7.5,0,1,0,1,0,0,0,0,0,STL,ATL,0.52,LAA,TB,0.25,NYM,PHI,0.22,,,,,,,0.99,11215740.87,5494258.97,16709999.84,RS,,,,,,FOX,1.4,,,2101000
2011,5/7/11,Sat,1:00 PM,1,7.5,0,1,0,1,0,1,0,0,0,MIN,BOS,0.48,CIN,CHC,0.44,TB,BAL,0.07,,,,,,,0.99,2990440.43,8415378.3,11405818.73,RS,,,,,,FOX,1.4,,,2136000
2011,5/14/11,Sat,7:00 PM,7,1.5,1,1,0,1,0,0,0,0,0,BOS,NYY,0.71,SF,CHC,0.2,ARI,LAD,0.08,,,,,,,0.99,7755196.89,20124500.07,27879696.96,RS,,,,,,FOX,2.6,,,4103000
2011,5/21/11,Sat,7:00 PM,7,1.5,1,1,0,1,0,1,0,0,0,NYM,NYY,0.36,CHC,BOS,0.32,TEX,PHI,0.19,OAK,SF,0.12,,,,0.99,14011944.44,13401794.58,27413739.02,RS,,,,,,FOX,2.8,,,4551000
2011,5/28/11,Sat,7:00 PM,7,1.5,1,1,0,0,0,0,0,0,0,STL,COL,0.24,CIN,ATL,0.19,BOS,DET,0.17,PHI,NYM,0.16,KC,TEX,0.14,0.9,3937374.64,7627115.08,11564489.72,RS,,,,,,FOX,2.4,,,3799000
2011,6/4/11,Sat,4:00 PM,4,4.5,0,1,0,1,0,0,0,0,0,CHC,STL,0.72,COL,SF,0.15,LAD,CIN,0.12,,,,,,,0.99,9830993.43,3557313.9,13388307.33,RS,,,,,,FOX,1.6,,,2433000
2011,6/11/11,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,CHC,PHI,0.59,CIN,SF,0.24,TEX,MIN,0.16,,,,,,,0.99,7528684.7,6856982.78,14385667.48,RS,,,,,,FOX,1.4,,,2195000
2011,6/18/11,Sat,4:00 PM,4,4.5,0,1,0,0,0,0,0,0,0,NYY,CHC,0.74,TEX,ATL,0.23,,,,,,,,,,0.97,19035739.62,8752725.05,27788464.67,RS,,,,,,FOX,1.7,,,2590000
